key	paper_key	zotero_key	title	doi	normalized_doi	year	pdf	html	text_path	text_source_type	text_available	table_dir	table_available	dataset_id	split_tag	benchmark_tag	notes
UFXX9WXE	UFXX9WXE	UFXX9WXE	Formulation and Optimization of Polymeric Nanoparticles for Intranasal Delivery of Lorazepam Using Box-Behnken Design: <i>In Vitro</i> and <i>In Vivo</i> Evaluation	10.1155/2014/156010	10.1155/2014/156010	2014	C:\Users\tianc\Downloads\00_Data\UMD\1 Project 1 CRNPs for Breast CSC\Tiancong\Zotero\storage\GRREEEAS\Sharma et al. - 2014 - Formulation and Optimization of Polymeric Nanoparticles for Intranasal Delivery of Lorazepam Using B.pdf		data\cleaned\content\text\UFXX9WXE.pdf.txt	pdf	yes	data\cleaned\goren_2025\tables\UFXX9WXE	yes	2026w19_downloaded_fulltext	ee_extraction_sprint	diagnostic_only	P0_ee_keyword;usable_for_dryrun;ee_hits=66
YZYKTTFE	YZYKTTFE	YZYKTTFE	Development of 225Ac-doped biocompatible nanoparticles for targeted alpha therapy	10.1186/s12951-024-02520-6	10.1186/s12951-024-02520-6	2024-06-02	C:\Users\tianc\Downloads\00_Data\UMD\1 Project 1 CRNPs for Breast CSC\Tiancong\Zotero\storage\MKHHM96T\s12951-024-02520-6.pdf		data\cleaned\content\text\YZYKTTFE.pdf.txt	pdf	yes		unknown	2026w19_downloaded_fulltext	ee_extraction_sprint	diagnostic_only	P0_ee_keyword;usable_for_dryrun;ee_hits=58
IC5L6Z3X	IC5L6Z3X	IC5L6Z3X	Caffeic Acid Phenethyl Ester Loaded PLGA Nanoparticles: Effect of Various Process Parameters on Reaction Yield, Encapsulation Efficiency, and Particle Size	10.1155/2015/341848	10.1155/2015/341848	2015	C:\Users\tianc\Downloads\00_Data\UMD\1 Project 1 CRNPs for Breast CSC\Tiancong\Zotero\storage\52CNV52V\Derman - 2015 - Caffeic Acid Phenethyl Ester Loaded PLGA Nanoparticles Effect of Various Process Parameters on Reac.pdf		data\cleaned\content\text\IC5L6Z3X.pdf.txt	pdf	yes		unknown	2026w19_downloaded_fulltext	ee_extraction_sprint	diagnostic_only	P0_ee_keyword;usable_for_dryrun;ee_hits=53
KTNLRQZU	KTNLRQZU	KTNLRQZU	Preparation of insulin-loaded PLA/PLGA microcapsules by a novel membrane emulsification method and its release in vitro	10.1016/j.colsurfb.2006.05.014	10.1016/j.colsurfb.2006.05.014	2006-08-01	C:\Users\tianc\Downloads\00_Data\UMD\1 Project 1 CRNPs for Breast CSC\Tiancong\Zotero\storage\XLE9QXZN\Liu et al. - 2006 - Preparation of insulin-loaded PLAPLGA microcapsules by a novel membrane emulsification method and i.pdf		data\cleaned\content\text\KTNLRQZU.pdf.txt	pdf	yes		unknown	2026w19_downloaded_fulltext	ee_extraction_sprint	diagnostic_only	P0_ee_keyword;usable_for_dryrun;ee_hits=53
VHSU9G7W	VHSU9G7W	VHSU9G7W	Pulmonary Targeting with Biodegradable Salbutamol-Loaded Nanoparticles	10.1089/jamp.2009.0759	10.1089/jamp.2009.0759	02/2010	C:\Users\tianc\Downloads\00_Data\UMD\1 Project 1 CRNPs for Breast CSC\Tiancong\Zotero\storage\NH6MPW25\Beck-Broichsitter et al. - 2010 - Pulmonary Targeting with Biodegradable Salbutamol-Loaded Nanoparticles.pdf		data\cleaned\content\text\VHSU9G7W.pdf.txt	pdf	yes	data\cleaned\goren_2025\tables\VHSU9G7W	yes	2026w19_downloaded_fulltext	ee_extraction_sprint	diagnostic_only	P0_ee_keyword;usable_for_dryrun;ee_hits=42
Z7B3LLMJ	Z7B3LLMJ	Z7B3LLMJ	A new double emulsion solvent diffusion technique for encapsulating hydrophilic molecules in PLGA nanoparticles	10.1016/j.jconrel.2008.09.073	10.1016/j.jconrel.2008.09.073	2009-01-19	C:\Users\tianc\Downloads\00_Data\UMD\1 Project 1 CRNPs for Breast CSC\Tiancong\Zotero\storage\GXWFNXCR\Cohen-Sela et al. - 2009 - A new double emulsion solvent diffusion technique for encapsulating hydrophilic molecules in PLGA na.pdf		data\cleaned\content\text\Z7B3LLMJ.pdf.txt	pdf	yes		unknown	2026w19_downloaded_fulltext	ee_extraction_sprint	diagnostic_only	P0_ee_keyword;usable_for_dryrun;ee_hits=41
TFT6JTT6	TFT6JTT6	TFT6JTT6	Effect of Solvents, Stabilizers and the Concentration of Stabilizers on the Physical Properties of Poly(d,l-lactide-co-glycolide) Nanoparticles: Encapsulation, In Vitro Release of Indomethacin and Cytotoxicity against HepG2-Cell	10.3390/pharmaceutics14040870	10.3390/pharmaceutics14040870	2022-04	C:\Users\tianc\Downloads\00_Data\UMD\1 Project 1 CRNPs for Breast CSC\Tiancong\Zotero\storage\AMESBAHC\Alkholief et al. - 2022 - Effect of Solvents, Stabilizers and the Concentration of Stabilizers on the Physical Properties of P.pdf		data\cleaned\content\text\TFT6JTT6.pdf.txt	pdf	yes		unknown	2026w19_downloaded_fulltext	ee_extraction_sprint	diagnostic_only	P0_ee_keyword;usable_for_dryrun;ee_hits=34
XVWN2PDB	XVWN2PDB	XVWN2PDB	Oxcarbazepine-loaded polymeric nanoparticles: development and permeability studies across in vitro models of the blood&ndash;brain barrier and human placental trophoblast	10.2147/IJN.S77498	10.2147/ijn.s77498	03/2015	C:\Users\tianc\Downloads\00_Data\UMD\1 Project 1 CRNPs for Breast CSC\Tiancong\Zotero\storage\XWJI3ING\Rytting et al. - 2015 - Oxcarbazepine-loaded polymeric nanoparticles development and permeability studies across in vitro m.pdf		data\cleaned\content\text\XVWN2PDB.pdf.txt	pdf	yes	data\cleaned\goren_2025\tables\XVWN2PDB	yes	2026w19_downloaded_fulltext	ee_extraction_sprint	diagnostic_only	P0_ee_keyword;usable_for_dryrun;ee_hits=34
EHABVGGA	EHABVGGA	EHABVGGA	Nanoparticles with entrapped α-tocopherol:: synthesis, characterization, and controlled release	10.1088/0957-4484/19/10/105606	10.1088/0957-4484/19/10/105606	2008-03-12	C:\Users\tianc\Downloads\00_Data\UMD\1 Project 1 CRNPs for Breast CSC\Tiancong\Zotero\storage\CH9V4NF3\Zigoneanu et al. - 2008 - Nanoparticles with entrapped α-tocopherol synthesis, characterization, and controlled release.pdf		data\cleaned\content\text\EHABVGGA.pdf.txt	pdf	yes		unknown	2026w19_downloaded_fulltext	ee_extraction_sprint	diagnostic_only	P0_ee_keyword;usable_for_dryrun;ee_hits=32
V99GKZEI	V99GKZEI	V99GKZEI	Nanospheres based on PLGA/amphiphilic cyclodextrin assemblies as potential enhancers of Methylene Blue neuroprotective effect	10.1039/C5RA27386B	10.1039/c5ra27386b	2016		C:\Users\tianc\Downloads\00_Data\UMD\1 Project 1 CRNPs for Breast CSC\Tiancong\Zotero\storage\PUJCY7QW\Nanospheres based on PLGA_amphiphilic cyclodextrin assemblies as potential enhancers of Methylene Blue neuroprotective effect - RSC Advances (.html	data\cleaned\content\text\V99GKZEI.html.txt	html	yes	data\cleaned\goren_2025\tables\V99GKZEI	yes	2026w19_downloaded_fulltext	ee_extraction_sprint	diagnostic_only	P0_ee_keyword;usable_for_dryrun;ee_hits=32
7IG3TLJ6	7IG3TLJ6	7IG3TLJ6	Production of Prophylactic Nanoformulation for Dental Caries and Investigation of Its Effectiveness by In Vitro and In Silico Methods	10.3390/pharmaceutics17020167	10.3390/pharmaceutics17020167	2025-02	C:\Users\tianc\Downloads\00_Data\UMD\1 Project 1 CRNPs for Breast CSC\Tiancong\Zotero\storage\LEVYQWYD\Budama-Kilinc et al. - 2025 - Production of Prophylactic Nanoformulation for Dental Caries and Investigation of Its Effectiveness.pdf		data\cleaned\content\text\7IG3TLJ6.pdf.txt	pdf	yes		unknown	2026w19_downloaded_fulltext	ee_extraction_sprint	diagnostic_only	P0_ee_keyword;usable_for_dryrun;ee_hits=31
