polymer_MW,LA/GA,mol_MW,mol_logP,mol_TPSA,mol_melting_point,mol_Hacceptors,mol_Hdonors,mol_heteroatoms,drug/polymer,surfactant_concentration,surfactant_HLB,aqueous/organic,pH,solvent_polarity_index,particle_size,EE,LC
14,1,392.41,2.08,100.59,267.5,6,3,9,1,1.5,18,4,0,5.1,210,25.18,20.12
14,1,392.41,2.08,100.59,267.5,6,3,9,0.5,1.5,18,4,0,5.1,198,44.83,18.31
14,1,392.41,2.08,100.59,267.5,6,3,9,0.2,1.5,18,4,0,5.1,190,51.83,9.39
14,1,392.41,2.08,100.59,267.5,6,3,9,0.1,1.5,18,4,0,5.1,181,86.6,7.97
14,1,392.41,2.08,100.59,267.5,6,3,9,0.05,1.5,18,4,0,5.1,232,60.6,2.94
45,1,284.75,3.15,32.67,132,2,0,4,0.029,0.2,20.5,4,0,5.1,214,82,2.29
45,1,284.75,3.15,32.67,132,2,0,4,0.143,0.2,20.5,4,0,5.1,211,88,11.17
45,1,284.75,3.15,32.67,132,2,0,4,0.3,0.85,20.5,6,0,5.1,176,77,18.77
45,1,284.75,3.15,32.67,132,2,0,4,0.029,0.85,20.5,2,0,5.1,194,81,2.26
45,1,284.75,3.15,32.67,132,2,0,4,0.3,0.2,20.5,4,0,5.1,190,82,19.74
45,1,284.75,3.15,32.67,132,2,0,4,0.5,0.85,20.5,4,0,5.1,148,84,29.58
45,1,284.75,3.15,32.67,132,2,0,4,0.3,0.85,20.5,2,0,5.1,169,82,19.74
45,1,284.75,3.15,32.67,132,2,0,4,0.086,0.85,20.5,4,0,5.1,183,84,6.72
45,1,284.75,3.15,32.67,132,2,0,4,0.017,0.85,20.5,4,0,5.1,286,87,1.43
45,1,284.75,3.15,32.67,132,2,0,4,0.143,1.5,20.5,4,0,5.1,180,86,10.94
45,1,284.75,3.15,32.67,132,2,0,4,0.3,1.5,20.5,4,0,5.1,163,79,19.16
45,1,284.75,3.15,32.67,132,2,0,4,0.05,0.2,20.5,4,0,5.1,337,92,4.4
45,1,284.75,3.15,32.67,132,2,0,4,0.086,1.5,20.5,6,0,5.1,175,85,6.79
45,1,284.75,3.15,32.67,132,2,0,4,0.05,1.5,20.5,4,0,5.1,226,86,4.12
45,1,284.75,3.15,32.67,132,2,0,4,0.05,0.85,20.5,2,0,5.1,257,88,4.21
45,1,284.75,3.15,32.67,132,2,0,4,0.029,1.5,20.5,4,0,5.1,169,76,2.13
45,1,284.75,3.15,32.67,132,2,0,4,0.086,0.2,20.5,2,0,5.1,201,89,7.09
45,1,284.75,3.15,32.67,132,2,0,4,0.083,0.85,20.5,4,0,5.1,276,92,7.12
45,1,284.75,3.15,32.67,132,2,0,4,0.143,0.85,20.5,2,0,5.1,177,87,11.05
45,1,284.75,3.15,32.67,132,2,0,4,0.1,0.85,20.5,4,0,5.1,149,69,6.45
45,1,284.75,3.15,32.67,132,2,0,4,0.029,0.85,20.5,6,0,5.1,180,73,2.04
45,1,284.75,3.15,32.67,132,2,0,4,0.086,0.2,20.5,6,0,5.1,258,91,7.24
45,1,284.75,3.15,32.67,132,2,0,4,0.143,0.85,20.5,6,0,5.1,189,89,11.28
45,1,284.75,3.15,32.67,132,2,0,4,0.086,1.5,20.5,2,0,5.1,174,88,7.01
45,1,284.75,3.15,32.67,132,2,0,4,0.05,0.85,20.5,6,0,5.1,298,91,4.35
45,1,284.75,3.15,32.67,132,2,0,4,0.086,0.85,20.5,4,0,5.1,183,84,6.72
12,1,400.43,0.64,147.84,123.5,7,4,10,0.3,0.5,20.5,4,1,5.1,100.4,71.53,17.67
12,1,400.43,0.64,147.84,123.5,7,4,10,0.3,0.5,20.5,2.86,1,5.1,91.6,69.86,17.33
12,1,400.43,0.64,147.84,123.5,7,4,10,0.3,0.5,20.5,2,1,5.1,85.5,67.39,16.82
12,1,400.43,0.64,147.84,123.5,7,4,10,0.2,0.5,20.5,4,1,5.1,121.7,72.65,12.69
12,1,400.43,0.64,147.84,123.5,7,4,10,0.2,0.5,20.5,2.86,1,5.1,113.8,71.42,12.5
12,1,400.43,0.64,147.84,123.5,7,4,10,0.2,0.5,20.5,2,1,5.1,101.4,68.21,12
12,1,400.43,0.64,147.84,123.5,7,4,10,0.15,0.5,20.5,4,1,5.1,132,74.19,10.01
