paper_key	gt_formulation_id	matched_system_formulation_id	field_name	compare_status	error_bucket	gt_value_raw	system_value_raw	system_value_source_type	evidence_status_detail	alignment_rule
5GIF3D8W	5GIF3D8W_G001	5GIF3D8W__table_4__pcl_/_drug_loaded	ee_percent	not_reported_in_gt				direct_extracted	supported	loaded_state_disambiguation_bridge
5GIF3D8W	5GIF3D8W_G002	5GIF3D8W__table_4__pcl_/_drug_loaded	ee_percent	not_reported_in_gt				direct_extracted	supported	semantic_signature_fallback
5GIF3D8W	5GIF3D8W_G010	5GIF3D8W__table_4__plga_50/50_/_drug_loaded	ee_percent	not_reported_in_gt				direct_extracted	supported	semantic_signature_fallback
5GIF3D8W	5GIF3D8W_G011	5GIF3D8W__table_4__plga_50/50_/_drug_loaded	ee_percent	not_reported_in_gt				direct_extracted	supported	semantic_signature_fallback
5GIF3D8W	5GIF3D8W_G036	5GIF3D8W__table_4__plga_85/15_/_drug_loaded	ee_percent	missing_in_system	missing_value	78.99 %		direct_extracted	supported	compact_label_unique
5GIF3D8W	5GIF3D8W_G038	5GIF3D8W__table_4__pcl_/_drug_loaded	ee_percent	missing_in_system	missing_value	80.15 %		direct_extracted	supported	compact_label_unique
5ZXYABSU	5ZXYABSU_G004	5ZXYABSU__table_1__npg1	ee_percent	missing_in_system	missing_value	19.3 %		direct_extracted	supported	raw_formulation_label_unique
5ZXYABSU	5ZXYABSU_G005	5ZXYABSU__table_1__npg2	ee_percent	missing_in_system	missing_value	18.2 %		direct_extracted	supported	raw_formulation_label_unique
5ZXYABSU	5ZXYABSU_G006	5ZXYABSU__table_1__npg3	ee_percent	missing_in_system	missing_value	19.3 %		direct_extracted	supported	raw_formulation_label_unique
5ZXYABSU	5ZXYABSU_G007	5ZXYABSU__table_1__npr1	ee_percent	missing_in_system	missing_value	55.3 %		direct_extracted	supported	raw_formulation_label_unique
5ZXYABSU	5ZXYABSU_G008	5ZXYABSU__table_1__npr2	ee_percent	missing_in_system	missing_value	51.3 %		direct_extracted	supported	raw_formulation_label_unique
5ZXYABSU	5ZXYABSU_G009	5ZXYABSU__table_1__npr3	ee_percent	missing_in_system	missing_value	60.9 %		direct_extracted	supported	raw_formulation_label_unique
7ZS858NS	7ZS858NS_G001	MF-PLGA-NPs-Core	ee_percent	missing_in_system	missing_value	90.0 %		direct_extracted	supported	semantic_signature_fallback
BB3JUVW7	BB3JUVW7_G006	BB3JUVW7__table_2__row_01_100	ee_percent	not_reported_in_gt				direct_extracted	supported	decision_identity_signature_bridge
BB3JUVW7	BB3JUVW7_G007	BB3JUVW7__table_2__row_02_150	ee_percent	not_reported_in_gt				direct_extracted	supported	decision_identity_signature_bridge
BB3JUVW7	BB3JUVW7_G008	BB3JUVW7__table_2__row_03_100	ee_percent	not_reported_in_gt				direct_extracted	supported	ratio_token_bridge
BB3JUVW7	BB3JUVW7_G009	BB3JUVW7__table_2__row_04_100	ee_percent	not_reported_in_gt				direct_extracted	supported	decision_identity_signature_bridge
BB3JUVW7	BB3JUVW7_G010	BB3JUVW7__table_2__row_05_100	ee_percent	not_reported_in_gt				direct_extracted	supported	decision_identity_signature_bridge
BB3JUVW7	BB3JUVW7_G011	BB3JUVW7__table_2__row_06_100	ee_percent	not_reported_in_gt				direct_extracted	supported	decision_identity_signature_bridge
BB3JUVW7	BB3JUVW7_G012	BB3JUVW7__table_2__row_07_100	ee_percent	not_reported_in_gt				direct_extracted	supported	decision_identity_signature_bridge
L3H2RS2H	L3H2RS2H_G001	L3H2RS2H__table_7__3-meoxan_nanocapsules_theoretical_concentration_1000_mg/ml	ee_percent	missing_in_system	missing_value	89 %		direct_extracted	supported	raw_formulation_label_unique
L3H2RS2H	L3H2RS2H_G002	L3H2RS2H__table_7__3-meoxan_nanocapsules_theoretical_concentration_1200_mg/ml	ee_percent	missing_in_system	missing_value	77 %		direct_extracted	supported	raw_formulation_label_unique
L3H2RS2H	L3H2RS2H_G003	L3H2RS2H__table_7__3-meoxan_nanocapsules_theoretical_concentration_1400_mg/ml	ee_percent	missing_in_system	missing_value	83 %		direct_extracted	supported	raw_formulation_label_unique
L3H2RS2H	L3H2RS2H_G004	L3H2RS2H__table_7__3-meoxan_nanocapsules_theoretical_concentration_1600_mg/ml	ee_percent	missing_in_system	missing_value	ND %		direct_extracted	supported	raw_formulation_label_unique
L3H2RS2H	L3H2RS2H_G005		ee_percent	blocked_alignment	blocked_alignment	83 %		missing_system_field_surface	missing_system_field_surface	no_unique_alignment
