summary_type	category	name	count
category_total	Material inheritance	__total__	337
category_total	Protocol/process inheritance	__total__	168
category_total	Result/characterization binding	__total__	75
field_total	Material inheritance	polymer_mw_raw	60
field_total	Material inheritance	polymer_mw_kDa	53
field_total	Protocol/process inheritance	evaporation_time_h	44
field_total	Material inheritance	drug_concentration_unit	35
field_total	Protocol/process inheritance	stirring_time_h	34
field_total	Result/characterization binding	ee_percent	30
field_total	Material inheritance	polymer_concentration_unit	29
field_total	Material inheritance	emulsifier_stabilizer_concentration_unit	27
field_total	Protocol/process inheritance	phase_ratio_raw	26
field_total	Protocol/process inheritance	O_volume_mL	23
field_total	Material inheritance	polymer_grade	19
field_total	Material inheritance	la_ga_ratio_normalized	17
field_total	Material inheritance	la_ga_ratio_raw	17
field_total	Protocol/process inheritance	W2_volume_mL	16
field_total	Result/characterization binding	particle_size_nm	15
field_total	Material inheritance	emulsifier_stabilizer_concentration_value	15
field_total	Material inheritance	surfactant_mass_mg	14
field_total	Material inheritance	drug_mass_mg	13
field_total	Material inheritance	helper_material_name	13
field_total	Protocol/process inheritance	pH_raw	13
field_total	Result/characterization binding	zeta_mV	12
field_total	Protocol/process inheritance	external_aqueous_phase_volume_mL	9
field_total	Material inheritance	drug_concentration_value	9
field_total	Result/characterization binding	pdi	8
field_total	Result/characterization binding	lc_percent	6
field_total	Result/characterization binding	dl_percent	4
field_total	Material inheritance	polymer_mass_mg	3
field_total	Material inheritance	drug_name	3
field_total	Material inheritance	polymer_concentration_phase	3
field_total	Material inheritance	polymer_concentration_value	3
field_total	Material inheritance	emulsifier_stabilizer_name	3
field_total	Protocol/process inheritance	W1_volume_mL	1
field_total	Material inheritance	co_solvent_name	1
field_total	Protocol/process inheritance	internal_aqueous_phase_volume_mL	1
field_total	Protocol/process inheritance	sonication_time_s	1
paper_total	Material inheritance	UFXX9WXE	104
paper_total	Protocol/process inheritance	UFXX9WXE	78
paper_total	Material inheritance	YGA8VQKU	65
paper_total	Material inheritance	L3H2RS2H	38
paper_total	Protocol/process inheritance	YGA8VQKU	36
paper_total	Material inheritance	5GIF3D8W	25
paper_total	Result/characterization binding	L3H2RS2H	24
paper_total	Material inheritance	V99GKZEI	23
paper_total	Material inheritance	BB3JUVW7	19
paper_total	Result/characterization binding	5ZXYABSU	18
paper_total	Protocol/process inheritance	5ZXYABSU	18
paper_total	Material inheritance	QLYKLPKT	18
paper_total	Protocol/process inheritance	5GIF3D8W	12
paper_total	Material inheritance	5ZXYABSU	12
paper_total	Protocol/process inheritance	INMUTV7L	12
paper_total	Material inheritance	INMUTV7L	12
paper_total	Result/characterization binding	QLYKLPKT	12
paper_total	Result/characterization binding	5GIF3D8W	11
paper_total	Material inheritance	PA3SPZ28	10
paper_total	Material inheritance	WFDTQ4VX	9
paper_total	Result/characterization binding	7ZS858NS	6
paper_total	Result/characterization binding	PA3SPZ28	3
paper_total	Protocol/process inheritance	PA3SPZ28	3
paper_total	Protocol/process inheritance	QLYKLPKT	3
paper_total	Protocol/process inheritance	V99GKZEI	3
paper_total	Material inheritance	7ZS858NS	2
paper_total	Protocol/process inheritance	L3H2RS2H	2
paper_total	Protocol/process inheritance	7ZS858NS	1
paper_total	Result/characterization binding	WFDTQ4VX	1
