"Table 2","","","","","","",""
"Encapsulation of oligonucleotide within PLGA microparticles prepared by different methods (DMSO; polymer:oil = 1:3).","","","","","","",""
"Method","","Polymer","","","Drug in polymer solutionTheoretical loading (%)Actual loading (%)Encapsulation efﬁciency (%)","",""
"","","Type","Conc. (w/w%)","","","",""
"","","","10","Dissolved","10.5","4.7","44.8 ± 0.4"
"","","RG 506","20","Dissolved","10.2","10.2","100.0 ± 0.8"
"o/o/o Extraction","","","30","Partially dissolved","10.3","8.3","80.6 ± 0.6"
"","","RG 756","20","Dissolved","10.3","10.2","99.0 ± 0.5"
"","","R 206","20","Dissolved","10.6","10.5","99.1 ± 0.4"
"o/o/w Extraction","","RG 506","20","Dissolved","10.1","1.9","18.8 ± 0.4"
"w/o/w Extraction","Evaporation","RG 506","3.5","Emulsiﬁed","10.6","8.1","76.4 ± 0.5"
