"Each point represents mean(cid:5)S.D. (n(cid:4)3).","","","Each point represents mean(cid:5)S.D. (n(cid:4)3).",""
"3.","Results of Correlation Coefﬁcient (r) Fitted from Mathematical Models","","",""
"","","","","Ritger and Peppas’s"
"Batches","Zero-order kinetics model","First-order kinetics model","Higuchi model",""
"","","","","empirical equation model"
"1","y(cid:4)0.0322x(cid:9)0.3066","y(cid:4)(cid:6)0.1237x(cid:6)0.1058","y(cid:4)0.1783x(cid:9)0.1148","y(cid:4)0.2828x0.3904"
"","r(cid:4)0.9510","r(cid:4)0.9970","r(cid:4)0.9908","*r(cid:4)0.9975"
"2","y(cid:4)0.0372x(cid:9)0.0237","y(cid:4)(cid:6)0.0949x(cid:9)0.2536","y(cid:4)0.2013x(cid:6)0.1733","y(cid:4)0.0865x0.6847"
"","*r(cid:4)0.9982","r(cid:4)0.9153","r(cid:4)0.9635","r(cid:4)0.9878"
"3","y(cid:4)0.0291x(cid:9)0.0172","y(cid:4)(cid:6)0.0475x(cid:9)0.0529","y(cid:4)0.1908x(cid:6)0.2135","y(cid:4)0.0599x0.731"
"","*r(cid:4)0.9962","r(cid:4)0.970567","r(cid:4)0.9707","r(cid:4)0.9896"
"4","y(cid:4)0.0307x(cid:9)0.0822","y(cid:4)(cid:6)0.0582x(cid:6)0.0004","y(cid:4)0.1743x(cid:6)0.1053","y(cid:4)0.046x0.9365"
"","r(cid:4)0.9764","r(cid:4)0.9875","*r(cid:4)0.9921","r(cid:4)0.9751"
"5","y(cid:4)0.0337x(cid:9)0.1272","y(cid:4)(cid:6)0.0777x(cid:9)0.0003","y(cid:4)0.1935x(cid:6)0.0851","y(cid:4)0.0685x0.852"
"","r(cid:4)0.9688","r(cid:4)0.9893","*r(cid:4)0.9949","r(cid:4)0.9720"
