"","","","","8 of 21"
"Table 2. Physicochemical properties of At-Ca PLGA NPs formulations (F1–F9). Data represent mean","","","",""
"","values ± SD of at least three measurements.","","",""
"","Z-Average","Polydispersity","Zeta Potential",""
"Formula Code","","","","% EE"
"","","Index (PDI)","(mV)",""
"","(nm)","","",""
"F1","200.7 ± 18.85","0.096 ± 0.011","−5.57 ± 0.88","51.78 ± 1.89"
"F2","238.3 ± 22.43","0.134 ± 0.025","−8.23 ± 0.82","60.42 ± 3.84"
"F3","257.9 ± 19.53","0.145 ± 0.012","−10.77 ± 0.36","69.81 ± 1.84"
"F4","217.5 ± 20.87","0.107 ± 0.066","−9.02 ± 3.22","74.52 ± 2.35"
"F5","248.2 ± 15.13","0.126 ± 0.048","−12.41 ± 4.80","87.63 ± 3.21"
"F6","280.8 ± 13.55","0.151 ± 0.039","−17.18 ± 0.87","89.36 ± 5.89"
"F7","238.1 ± 22.58","0.076 ± 0.047","−11.71 ± 0.78","75.15 ± 2.24"
"F8","289.5 ± 17.89","0.102 ± 0.029","−14.55 ± 2.95","78.95 ± 1.17"
"F9","326.9 ± 16.74","0.110 ± 0.012","−19.28 ± 0.77","82.02 ± 3.59"
