"","Table 4  Pharmacokinetic parameters of THQ-PLGA-NPs after i.n. and i.v. administration to rats at the dose of 10 mg kg−","","","","","","","","","1"
"in brain, lungs and plasma (n","6, mean","SD)","","","","","","","",""
"","=","±","","","","","","","",""
"Formulation administration","Samples","","Cmax (ng/mL g)","Tmax","t1/2 (h)","","Ke  (h−","1)","","AUC 0–t (ng min/mL g)"
"THQ-S (i.n.)","Brain","29.46","1.67","2.00","8.22","0.75","0.0843","0.009","251.08","15.97"
"","","","±","","","±","","±","","±"
"","Lungs","14.89","0.96","2.00","20.61","1.08","0.0336","0.0021","186.30","20.10"
"","","","±","","","±","","±","","±"
"","Plasma","12.89","0.64","0.5","5.61","0.57","0.1237","0.0021","53.07","1.56"
"","","","±","","","±","","±","","±"
"THQ-S (i.v.)","Brain","19.17","0.88","2.00","10.43","0.46","0.0664","0.0011","145.68","10.09"
"","","","±","","","±","","±","","±"
"","Lungs","12.09","0.76","2.00","11.95","1.00","0.0580","0.0011","130.47","9.95"
"","","","±","","","±","","±","","±"
"","Plasma","491.01","11.19","1.00","7.74","0.24","0.0895","0.0031","3832.45","121.08"
"","","","±","","","±","","±","","±"
"THQ-PLGA-NPs (i.n.)","Brain","445.94","8.67","2.00","87.98","12.46","0.0079","0.00009","6942.67","109.89"
"","","","±","","","±","","±","","±"
"","Lungs","102.01","7.68","2.00","15.29","1.87","0.0453","0.0006","776.63","28.89"
"","","","±","","","±","","±","","±"
"","Plasma","23.01","1.87","2.00","13.07","2.67","0.0530","0.0021","260.64","28.06"
"","","","±","","","±","","±","","±"
"THQ-PLGA-NPs (i.v.)","Brain","109.84","9.01","2.00","11.29","1.67","0.0614","0.0035","1154.31","78.01"
"","","","±","","","±","","±","","±"
"","Lungs","91.01","4.66","2.00","23.12","2.09","0.0300","0.0048","800.12","34.11"
"","","","±","","","±","","±","","±"
"","Plasma","453.93","16.01","1.00","9.21","0.96","0.0753","0.0014","3675.41","98.95"
"","","","±","","","±","","±","","±"
"TQ (i.n.)","Brain/plasma","2.29","","4.00","1.47","","0.68","","4.73",""
"TQ (i.v.)","Brain/plasma","0.03","","2.00","1.35","","0.74","","0.04",""
"THQ-PLGA-NPs (i.n.)","Brain/plasma","19.38","","1.00","6.73","","0.15","","26.64",""
"THQ-PLGA-NPs (i.v.)","Brain/plasma","0.24","","1.00","1.23","","0.82","","0.32",""
