"Table 4","PK of Mangiferin (MNG) after i.n. and i.v. administration to rats at the dose of 20 mg  kg−1 in brain and plasma (n = 6, mean ± SD)","","","","",""
"Formulation administration","Samples","Cmax (ng/mL g)","Tmax","t1/2 (h)","Ke  (h−1)","AUC 0-t (ng min/ml g)"
"MNG-S (i.n.)","Brain","88.26 ± 13.26","2.00","20.38 ± 1.63","0.03400 ± 0.00007","991.14 ± 40.94"
"","Plasma","26.34 ± 2.69","0.50","8.11 ± 1.13","0.08550 ± 0.00011","136.25 ± 3.98"
"MNG-S (i.v.)","Brain","48.06 ± 11.64","2.00","16.26 ± 1.03","0.04262 ± 0.00010","507.80 ± 16.38"
"","Plasma","971.24 ± 76.84","0.50","3.94 ± 0.21","0.17592 ± 0.00020","15,505.57 ± 133.84"
"MNG-PLGA-NPs (i.n.)","Brain","679.64 ± 17.79","2.00","30.31 ± 3.97","0.02287 ± 0.00016","7406.14 ± 80.29"
"","Plasma","69.36 ± 4.81","2.00","11.34 ± 1.03","0.06113 ± 0.00014","470.63 ± 19.09"
"P-80-MNG-PLGA-NPs (i.n.)","Brain","993.47 ± 44.93","2.00","21.68 ± 2.39","0.03197 ± 0.00012","12,822.31 ± 138.21"
"","Plasma","99.67 ± 18.61","2.00","8.34 ± 0.97","0.08314 ± 0.00014","779.58 ± 28.53"
"MNG-PLGA-NPs (i.v.)","Brain","93.16 ± 13.27","2.00","15.43 ± 2.06","0.01273 ± 0.00010","1046.52 ± 26.46"
"","Plasma","716.54 ± 28.08","1.00","10.17 ± 0.86","0.06817 ± 0.00011","7147.81 ± 146.54"
"P-80-MNG-PLGA-NPs (i.v.)","Brain","141.36 ± 19.06","2.00","54.47 ± 5.03","0.01273 ± 0.00009","1796.41 ± 71.64"
"","Plasma","958.21 ± 81.01","1.00","12.86 ± 1.03","0.05389 ± 0.00012","10,384.50 ± 114.27"
"MNG-S (i.n.)","Brain/Plasma","3.35","4.00","2.51","0.40","7.28"
"MNG-S (i.v.)","Brain/Plasma","0.05","4.00","4.13","0.24","0.03"
"MNG-PLGA-NPs (i.n.)","Brain/Plasma","9.8","1.00","2.67","0.38","15.74"
"MNG-PLGA-NPs (i.v.)","Brain/Plasma","0.13","2.00","1.52","0.19","0.15"
"P80-MNG-PLGA-NPs (i.n.)","Brain/Plasma","9.97","1.00","2.6","0.39","16.45"
"P-80-MNG-PLGA-NPs (i.v.)","Brain/Plasma","0.15","2.00","4.24","0.24","0.17"
"Comparative bioavailability* (AUC i.n./AUC i.v.); (%)","","","","","",""
"Formulations
MNG-S","","","MNG-PLGA-NPs","","P-80-MNG-PLGA-NPs",""
"Blood
0.88","","","6.58","","7.51",""
"Brain
195.18*","","","707.69**","","713.77***",""
"* Parameters are derived using mean ± SEM values of six different estimations","","","","","",""
