"","4 target site.","","","",""
"","","","","","Interactions"
"","","","Docking (Affinity) Score","",""
"Targets","Tested Compounds","RMSD Value (Å)","","",""
"","","","(kcal/mol)","",""
"","","","","H.B","Pi Interaction"
"","The co-crystalized ligand","1.01","−8.91","4","13"
"PPARα","Palmitic acid","1.15","−8.87","3","8"
"","Linoleic acid","1.31","−9.02","3","13"
"","The co-crystalized ligand","1.23","−7.02","2","4"
"Toll-like receptor 4","Palmitic acid","1.32","−8.75","2","11"
"","Linoleic acid","1.07","−8.92","3","8"
"Pharmaceuticals 2025, 18, x FOR PEER REVIEW","","","","",""
