"Table 2.","Encapsulation efﬁciency and drug-loading capacity of β-Sit-PLGA and β-Sit-PEG-PLA","","","","",""
"","nanoparticles. Results represent mean ± SD (n = 3).","","","","",""
"","","","Weight of β-sitosterol Used for Formulation","","",""
"Formulation","","2 mg/mL","","","4 mg/mL",""
"","EE (%)","EDL %","ADL (%)","EE (%)","EDL %","ADL (%)"
"β-Sit-PLGA-EtAC","62.89 ± 4.66","4.76","3.00 ± 0.22","48.41 ± 23.82","9.09","4.4 ± 2.17"
"β-Sit-PLGA-DCM","85.13 ± 6.35","4.76","4.05 ± 0.30","88.48 ± 0.01 a","9.09","8.04 ± 0.01 a"
"β-Sit-PEG-PLA (R45)","51.83 ± 19.72","4.76","2.47 ± 0.94","71.02 ± 22.48","9.09","6.46 ± 2.04"
"β-Sit-PEG-PLA (R25)","34.84 ± 1.71","4.76","1.67 ± 0.08","66.85 ± 8.13","9.09","6.08 ± 0.74"
"","EE = encapsulation efﬁciency, EDL = expected drug loading, ADL = actual drug loading. a Result represents mean","","","","",""
