"Ursolic Acid Loaded PLGA Nanoparticles:
in vitro and in vivo","","2697"
"Table I","Influence of the Preparation Method on the Size, Encapsulation Efficiency, Yield and the Physicochemical Characteristics (n = 3)",""
"Single emulsion solvent","Multiple emulsion solvent","After 3 months storage at 4°C"
"evaporation technique","evaporation technique","(prepared by single emulsion method)"
"Encapsulation efficiency
40 ± 3.24","70 ± 5.32",""
"Drug loading
4 ± 1.12","8 ± 1.23",""
"Yield (%)
50 ± 5.43","60 ± 6.21",""
"Size (nm)
154 ± 4.56","295 ± 9.23","164 ± 3.44"
"PDI
0.29","1.00","0.64"
"Zeta potential (mV)
- 18.4","- 12.2","−19.7"
