"","increasing selegiline concentration and also by increasing","","stability.","","",""
"","Table 1 Loading efﬁciencies, average nanoparticle sizes, polydispersity indexes and zeta potentials of nanoparticle formulations with different","","","","",""
"selegiline concentrations (n = 3)","","","","","",""
"Nanoparticle","Weighed amount of selegiline to","Amount of selegiline","Loading","Average size","Polydispersity","Zeta"
"formulation","be loaded in nanoparticles (mg)","determined in nanoparticles","efﬁciency","(nm)","index (PDI)","potential"
"","","(lg)","(%)","","","(mV)"
"NP 1","2.50","4.92 ± 3.4","11.70","236.00 ± 12.0","0.331 ± 0.2","38.00 ± 1.4"
"NP 2","5.00","12.57 ± 3.0","13.00","217.00 ± 15.5","0.321 ± 0.1","34.80 ± 0.3"
"NP 3","7.50","4.92 ± 0.6","3.30","246.30 ± 47.6","0.295 ± 0.1","34.70 ± 4.2"
"NP 4","10.00","7.37 ± 2.9","5.20","ND","ND","ND"
