"","Table  VI.  Pharmacokinetics  of  antitubercular  drugs  encapsulated  in  LPN  as  compared  to  free  drugs,","","",""
"in mice ( n     (cid:3)    3).","","","",""
"","","Ciprofl oxacin Hydrochloride","","Isoniazid"
"Parameters","CIP-HCl Free","CIP-HCl encapsulated","INH Free","INH encapsulated"
"","","","",""
"AUC 0-t  (ug/ml * min)","1156    (cid:6)    0.12","436    (cid:6)    0.27","151    (cid:6)    0.12","451    (cid:6)    0.54"
"","","","",""
"AUC 0- ∞   (ng/ml * min)","1123272    (cid:6)    0.23","458483    (cid:6)    0.72","1399891    (cid:6)    0.34","523187    (cid:6)    0.14"
"t 1/2  (hr)","0.181    (cid:6)    0.32","3.54    (cid:6)    0.27","1.324    (cid:6)    0.23","6.013    (cid:6)    0.21"
"C max  (ng/ml)","56342    (cid:6)    0.82","51200    (cid:6)    0.18","38713    (cid:6)    1.21","30741    (cid:6)    0.13"
"T max  (min)","540    (cid:6)    0.29","240    (cid:6)    0.26","3000    (cid:6)    1.04","180    (cid:6)    0.24"
"","","","",""
"AUMC 0-t  (ng/ml * min 2 )","16422123    (cid:6)    0.82","5368267    (cid:6)    0.25","738220    (cid:6)    0.64","6552213    (cid:6)    0.82"
"MRT (min)","14.2    (cid:6)    0.24","12.3    (cid:6)    0.34","4.8    (cid:6)    0.14","14.5    (cid:6)    1.01"
"","Values are mean  (cid:6)  SD,  n     (cid:3)    3.  p     (cid:7)    0.005 with respect to free drugs, according to two-way ANOVA.","","",""
