"Medicina 2019, 55, 294","","","",""
"","Table 6. Results observed for Plackett–Burman Design.","","",""
"Formulation","Y1 (nm)","Y2","Y3","Y4"
"PBD1","680","−13","75.36","0.995"
"PBD2","261","−10","52","0.1815"
"PBD3","620","−5","58","0.485"
"PBD4","310","−25.1","53.22","0.32"
"PBD5","266.9","−18.5","58.21","1.121"
"PBD6","590","−6","54","0.18"
"PBD7","380","−26.02","74.42","0.1423"
"PBD8","383","−22.1","58.93","0.1498"
"PBD9","490","−6","59","0.1282"
"PBD10","620","−5.5","76","0.475"
"PBD11","900","−3.1","71","0.155"
"PBD12","300","−14","77","1.273"
"","Y1—average particle size; Y2—Zeta-potential; Y3—encapsulation eﬃciency; Y4—polydispersity index.","","",""
