"","accelerated  stability  conditions.  At  the  end  of  the  storage  period,","lyophilized  DTX-NPs  were"
"observed that there was no melt back of cake and the product was stable. There was no signiﬁcant","",""
"","analyzed and it was observed that there was no melt back of cake and the product was stable. There",""
"change in description, content of entrapped drug, particle size, and PDI as compared to initial time","",""
"","was  no  significant  change  in  description,  content  of  entrapped  drug,  particle  size,  and  PDI  as",""
"compared to initial time point (Table 12).","",""
"","Table 12. Stability study results (n = 3, mean ± SD).",""
"","Table 12. Stability study results (n=3, mean ±SD).",""
"Parameters","Initial","Final"
"Parameters","Initial","Final"
"Particle size (nm)","210 ± 2.6","214 ± 1"
"Particle size (nm)","210±2.6","214±1"
"PDI","0.159 ± 0.001","0.170 ± 0.001"
"PDI","0.159±0.001","0.170±0.001"
"Drug content (%)","97.1 ± 0.85","96.8 ± 0.77"
"Drug content (%)","97.1±0.85","96.8±0.77"
"Description","White powder","White powder"
"Description","White powder  White powder",""
