"Table  1","","",""
"Zetasize  analysis  of  nanoparticles  synthesized  by  (a)  ESE  approach;  (b)  ESSE  approach;  (c)  RECG  approach;  and  (d)  RESCG  approach.","","",""
"Sorbitan  mono-oleate  (%,  v/v)","Polydispersity  index  (Pdi)","Zeta  potential  (mV)","Particle  size  (nm)"
"(a)  ESE  approach","","",""
"1.0","0.441","−1.85","375.0"
"1.5","0.482","−25.4","488.7"
"2.0","0.466","−20.8","515.9"
"2.5","0.473","−18.4","799.6"
"(b)   ESSE  approach","","",""
"1.0","0.291","−32.9","275.5"
"1.5","0.232","−26.4","188.7"
"2.0","0.486","−30.8","115.9"
"2.5","0.173","−28.4","101.1"
