"Cryoprotective  agent  (PLGA/sugar,  w/w  ratio)","","Before  freeze-drying","","","","After  freeze-drying","",""
"","","Mean  diameter  (nm)","","(cid:2)2","","Mean  diameter  (nm)","","(cid:2)2"
"Without  cryoprotectant","134.71","±","6.22","1.05","199.62","±","52.34","1.98"
"Threalose  (1/0.5)","166.51","±","5.45","1.02","170.21","±","32.34","1.22"
"Threalose  (1/1)","159.61","±","5.45","1.12","175.31","±","22.34","1.26"
"Threalose  (1/2)","152.71","±","5.45","1.05","175.73","±","62.81","2.30"
"Sucrose  (1/0.5)","158.44","±","4.45","1.01","175.01","±","22.34","1.26"
"Sucrose  (1/1)","158.62","±","5.45","0.91","153.22","±","3.32","0.81"
"Sucrose  (1/2)","145.81","±","9.68","1.06","153.61","±","33.92","1.51"
"Glucose  (1/0.5)","162.01","±","3.45","1.08","164.22","±","22.34","1.06"
"Glucose  (1/1)","209.61","±","5.45","1.02","195.03","±","32.37","1.46"
"Glucose  (1/2)","159.61","±","5.45","1.03","175.04","±","22.34","1.26"
