"Table 1","","","","","",""
"Physicochemical properties of C6I-PLGA NPs using Resomer® RG752S.","","","","","",""
"Formulation #","Formulation","C6I % w/w","Organic phase surfactant","diameter ± SD (nm)","PI ± SD","ZP ± SD (Mv)"
"1","PLGA-blank","0","Span 60","301 ± 20","0.19 ± 0.22","(cid:0) 44.1 ± 0.32"
"2","PLGA-C6I","10","Span 60","1320 ± 25","0.43 ± 0.34","(cid:0) 39.4 ± 0.85"
"3","PLGA-blank","0","Span 60 + TCP","302 ± 0.7","0.20 ± 0.10","(cid:0) 30.6 ± 0.61"
"","","","5%","","",""
"4","PLGA-C6I","10","Span 60 + TCP 5%","688 ± 33","0.1 0 ± 0.30","(cid:0) 25.8 ± 0.61"
"5","PLGA-blank","0","Span 60 + TPGS 10%","288 ± 0.18","0.17 ± .0.20","(cid:0) 29.6 ± 0.80"
"6","PLGA-C6I","10","Span 60 + TPGS 10%","441 ± 15","0.15 ± 0.57","(cid:0) 32.6 ± 1.01"
"7","PLGA-blank","0","Span 60 + TPGS 15%","272 ± 0.2","0.20 ± 0.30","(cid:0) 25.3 ± 0.4"
"8","PLGA-C6I","10","Span 60 + TPGS 15%","944 ± 11","0.05 ± 1.39","(cid:0) 25.5 ± 1.72"
"9","PLGA-blank","0","Span 60 + TPGS 20%","271 ± 1.0","0.13 ± 1.0","(cid:0) 25.6 ± 1.1"
"10","PLGA-C6I","10","Span 60 + TPGS 20%","1154 ± 20","0.23 ± 1.68","(cid:0) 25,1 ± 0.53"
"11","PLGA-blank","0","TPGS 10% + Pluronic","222 ± 3","0.19 ± 0.80","(cid:0) 27.1 ± 1.0"
"12","PLGA-C6I","10","TPGS 10% + Pluronic","221 ± 2","0.10 ± 0.12","(cid:0) 20.61 ± 1.49"
"Data represent mean value ± SD (n = 3). PI: polydispersity index; ZP: zeta potential; TPGS: tocopherol.","","","","","",""
