"","","Manjunath, et al.: Chitosan-Coated PLGA Nanoparticles of Ashwagandha Extract","","",""
"","","","Table 4: Comparison of in vitro drug release kinetics.","",""
"","","","Uncoated capsules","","Coated capsules"
"Release models","","","","",""
"","","PE","OF1","PE","OF1"
"Zero order","R2","0.672","0.9928","0.8886","0.9942"
"","K","0.1319","0.1023","0.162","0.089"
"First order","R2","0.8326","0.9899","0.9518","0.9846"
"","K","0.0016","-0.0007","-0.0017","-0.0005"
"Higuchi’s model","R2","0.8704","0.9501","0.9347","0.8794"
"","K","3.847","2.2699","4.2669","1.7886"
"Koresmeyer-peppas","R2","0.9969","0.9936","0.9477","0.9546"
"model","","","","",""
"","K","0.0021","0.0004","0.0628","-0.2332"
"","n","0.9789","0.6316","0.6391","0.6645"
