"","Naunyn-Schmiedeberg's Archives of Pharmacology (2024) 397:10031–10047","","","","","","10041"
"","","","","","","",""
"","Effect of AF and AF NPs on oxidative stress parameters in ICV-STZ-infused rats","","","","","",""
"Groups/parameters","Sham","ICV-STZ (3 mg/kg)","STZ + AF","STZ + AF","STZ + AF NPs","STZ + AF NPs","STZ + donepezil"
"","","","(5 mg/","(10 mg/","(2.5 mg/kg/p.o.)","(5 mg/kg/p.o.)","(2 mg /kg/p.o.)"
"","","","kg/p.o.)","kg/p.o.)","","",""
"GSH (μmol/mg protein)","1.394 ± 0.15","0.252 ± 0.07","0.513 ± 0.14","0.916 ± 0.12","0.607 ± 0.13","1.132 ± 0.09","1.265 ± 0.11"
"","","","","","","cdP < 0.01",""
"MDA","1.115 ± 0.01","3.113 ± 0.37","2.645 ± 0.29","1.923 ± 0.23","2.478 ± 0.05","1.641 ± 0.08","1.462 ± 0.07"
"(nmol/mg protein)","","","","","","",""
"SOD","1.179 ± 0.06","0.422 ± 0.12","0.612 ± 0.08","0.913 ± 0.09","0.692 ± 0.10","1.047 ± 0.08","1.118 ± 0.06"
"(U/mg protein)","","","","","","",""
"Catalase","1.378 ± 0.07","0.844 ± 0.05","0.967 ± 0.03","1.182 ± 0.04","1.025 ± 0.05","1.271 ± 0.06","1.324 ± 0.09"
"(U/mg protein)","","","","","","",""
"","ICV intracerebroventricular, STZ streptozotocin, AF auranofin, NPs nanoparticle, GSH reduced glutathione, MDA malondialdehyde, SOD super-","","","","","",""
"oxide dismutase","","","","","","",""
"","Data  were  analyzed  by  one-way  ANOVA  followed  by  Tukey’s  multiple  comparisons  (n = 6,  male).  Data  are  expressed  as  Mean ± SEM.","","","","","",""
"","aP < 0.001 STZ vs sham, bP < 0.05 AF vs STZ, cP < 0.01 AF NPs vs STZ, dP < 0.05 AF NPs vs AF, and eP < 0.05 donepezil vs AF NPs","","","","","",""
"","","","","","","",""
"Effect of AF and AF NPs","","","","","","",""
"on the brain (hippocampus)","","","","","","",""
"TNF-α and IL-6 level in intrac-","","","","","","",""
"erebroventricular streptozotocin","","","","","","",""
"ICV-STZ-infused rats (n = 6,","","","","","","",""
"male). Data were analyzed by","","","","","","",""
"two-way ANOVA followed","","","","","","",""
"by Tukey’s multiple com-","","","","","","",""
"parisons. Data are expressed","","","","","","",""
"as Mean ± SEM. aP < 0.001","","","","","","",""
"STZ vs sham, bP < 0.05 AF vs","","","","","","",""
"STZ, cP < 0.001 AF NPs vs","","","","","","",""
"STZ, dP < 0.05 AF NPs vs AF,","","","","","","",""
"and eP < 0.05 donepezil vs AF","","","","","","",""
"NPs. ICV intracerebroventricu-","","","","","","",""
"lar, STZ streptozotocin, AF","","","","","","",""
"auranofin, NPs nanoparticles","","","","","","",""
