"Scheme 2. Schematic illustration of the modiﬁed simultaneous double-emulsion solvent evaporation/diffusion process.","","","",""
"","Table 1. The effects of the volume ratio of organic solvent for DNR-loaded nanoparticlesa.","","",""
"Ratio of","Particle","Polydispersity","Drug loading","Encapsulation"
"DCM:ACE (v:v)","size (nm)","index","(%)","efﬁciency (%)"
"5 : 0","416 ± 64","0.251 ± 0.082","2.1 ± 0.2","26.3 ± 2.4"
"4 : 1","247 ± 35","0.119 ± 0.022","6.5 ± 0.3","81.3 ± 3.8"
"3 : 1","208 ± 32","0.107 ± 0.011","3.2 ± 0.2","40.1 ± 2.5"
"2 : 1","206 ± 33","0.113 ± 0.014","1.3 ± 0.1","16.3 ± 1.9"
"","a The preparation parameters: PLGA (Mw = 50 000, 100 mg), organic solvent","","",""
"","mixture (10 ml), surfactant (0.5% w/v, gelatin), volume ratio: W/O = 1:5. Data","","",""
"","are given as mean ± SD (n = 3).","","",""
