"Figure 1. Schematic diagram of the DSDP-ES setup for fabricating nonwoven bicomponent scaffolds.","","","",""
"","Table 1. Composition of emulsions for producing nonwoven mono- and bicomponent","","",""
"electrospun scaffolds.","","","",""
"","","GDNF/PLGA emulsions","","NGF/PDLLA emulsions"
"","Water phase","Oil phase","Water phase","Oil phase"
"Scaffold sample","1 ml H2O","10 ml CHCl3","1 ml H2O","10 ml CHCl3"
"G1 (0:1)","","","",""
"G1 (1:2)","","","",""
"G1 (1:1)","5 μg GDNF","1.5 g PLGA","5 μgNGF","2 g PDLLA"
"G1 (2:1)","5 mg BSA","75 μl Span-80","5 mg BSA","100 μl Span-80"
"G1 (1:0)","","","",""
"G2 (0:1)","","","",""
"G2 (1:2)","","","",""
"G2 (1:1)","4 μg GDNF","1.2 g PLGA","3.75 μg NGF","1.5 g PDLLA"
"G2 (2:1)","5 mg BSA","60 μl Span-80","5 mg BSA","75 μl Span-80"
"G2 (1:0)","","","",""
