"","",""
"ACCESS","Metrics & More",""
"ABSTRACT: Chinese yam polysaccharides (CYPs) have received wide","",""
"","attention for their immunomodulatory activity. Our previous studies had",""
"discovered
that
the
Chinese","yam polysaccharide
PLGA-stabilized",""
"","Pickering emulsion (CYP-PPAS) can serve as an efficient adjuvant","to"
"trigger powerful humoral
and cellular","immunity. Recently, positively",""
"","charged nano-adjuvants are easily taken up by antigen-presenting cells,",""
"potentially
resulting
in
lysosomal
escape,
the","promotion
of","antigen"
"","cross-presentation, and the induction of CD8 T-cell response. However,",""
"","reports on the practical application of cationic Pickering emulsions as",""
"adjuvants
are
very
limited. Considering
the","economic
damage","and"
"public-health risks caused by the H9N2 influenza virus,","it
is urgent","to"
"develop
an
effective
adjuvant
for
boosting","humoral
and","cellular"
"immunity
against
influenza
virus","infection. Here,
we","applied"
"","polyethyleneimine-modified Chinese yam polysaccharide PLGA nanoparticles as particle stabilizers and squalene as",""
