"Table 1","","","","","","",""
"The effect of the ratio of MH, CaCl2 and DS on the preparation of MH-NPs.","","","","","","",""
"","","","","","Table 2","",""
"MH: CaCl2: DS","Particle size (nm)","PDI","Zeta Potential (mV)","DL (%)","","",""
"","","","","","","The  effect  of  mixed  way  of  primary  emulsion  on  the  characterization  of",""
"12: 5: 12","112.2 ± 75.27","0.227","(cid:0) 41.1 ± 7.52","8.14","nanoparticles.","",""
"12: 5: 15","109.2 ± 47.25","0.136","(cid:0) 44.0 ± 7.98","9.59","","",""
"","","","","","Samples","Particle size (nm)","PDI"
"12: 5: 18","114.3 ± 62.54","0.251","(cid:0) 48.5 ± 5.96","9.08","","",""
"12: 3: 15","102.9 ± 49.03","0.154","(cid:0) 46.3 ± 11.9","7.62","Dropwise 10 min -ultrasonic 2 min","264.8 ± 172.9","0.387"
"12: 7: 15","118.8 ± 71.77","0.229","(cid:0) 39.7 ± 8.06","8.94","Dropwise 5 min -ultrasonic 2 min","233.2 ± 95.61","0.403"
"9: 5: 15","108.4 ± 58.75","0.198","(cid:0) 42.1 ± 7.11","8.77","Dropwise 2 min -ultrasonic 2 min","216.9 ± 122.3","0.403"
"15: 5: 15","113.5 ± 60.88","0.267","(cid:0) 48.1 ± 6.42","8.48","Direct mixing -ultrasonic 2 min","109.2 ± 47.25","0.136"
