"Table 3. The optimization of PEG-PLGA/TMP NPs by orthogonal experiment.","","","","",""
"","Concentration","Concentration","Sonication","Centrifugal",""
"Sample","","","","","LC (%)"
"","(TMP, mg/mL)","(PVA, %)","Power (W)","Speed (rcf)",""
"1","1","1","1","1","10.4 ± 0.2"
"2","1","2","2","2","10.9 ± 0.3"
"3","1","3","3","3","17.5 ± 0.6"
"4","2","1","2","3","34.0 ± 1.6"
"5","2","2","3","1","26.3 ± 1.1"
"6","2","3","1","2","15.6 ± 0.4"
"7","3","1","3","2","22.8 ± 1.3"
"8","3","2","1","3","14.6 ± 0.4"
"9","3","3","2","1","20.0 ± 1.2"
"K1","38.8","67.2","40.6","56.7",""
