"Table 4","The Observed and the Predicted Values of the Response Values of the Center Checkpoints","","","","","","","","",""
"Experimental","Predicted","","Observed value","","Observed value","","","Observed value","","Intermediate"
"response","value","","","","","","","","","precision (%)"
"","","(F1)","","","(F2)","","","(F3)","",""
"","","","Bias%","","","Bias%","","","Bias%",""
"Z-average","197.8","195.8±2.5","","","202.7±5.8","","","","196.4±4.1","3.8"
"(nm)","","","","","","","","","",""
"","","","","1.0","","","2.5","","0.7",""
"EE%","30.5","29.5±1.8","","","31.2±2.2","","","33.1±3.3","","1.8"
"","","","","3.3","","","2.3","","8.5",""
"PDI","0.20","0.19±0.01","","","0.19±0.01","","","0.18±0.003","","0.01"
"","","","","5.0","","","5.0","","10.0",""
"Zeta","-28.1","-28.1±1.1","","","-28.8±1","","","-27.7±1.3","","0.6"
"potential","","","","","","","","","",""
