"","Design of Nimesulide-Loaded PLGA Nanoparticles","","","","","","","","165"
"","","","Table III. Observed and Predicted Responses of Two Factors: Drug/Polymer Ratio (X1) and PVA Percentage Used (X2)","","","","","",""
"","","Responses","","","","","","",""
"","","Observed values","","","","Predicted values","","",""
"","","Q1a (%)","Q2a (nm)","Q3a","Q4a (mV)","Q1a (%)","Q2a (nm)","Q3a","Q4a(mV)"
"","Factorial points","","","","","","","",""
"","P1","89.54±7.26","212.1±2.01","0.101±0.03","−26.8±0.06","87.05","209.3","0.120","−26.9"
"","P2","86.24±9.49","231.3±3.34","0.141±0.02","−26.6±2.48","93.63","231.8","0.120","−25.3"
"","P3","84.94±5.96","239.2±2.22","0.226±0.06","−25.0±3.13","80.04","241.5","0.240","−26.2"
"","P4","91.09±4.69","211.9±1.97","0.182±0.01","−25.4±2.72","93.94","219.7","0.140","−25.0"
"","P5","72.86±1.49","247.6±2.78","0.223±0.04","−28.3±1.63","80.51","245.1","0.220","−25.9"
"","P6","100.0±16.02","275.2±1.77","0.177±0.04","−32.0±1.88","99.65","270.2","0.200","−32.2"
"","P7","96.7±10.06","281.0±1.29","0.199±0.09","−33.6±1.27","99.81","285.8","0.170","−32.2"
"","P8","82.55±0.61","288.5±2.36","0.235±0.01","−33.7±0.40","79.80","288.7","0.230","−34.9"
"Center points","","","","","","","","",""
"","P9","100.0±2.79","240.4±2.35","0.117±0.04","−24.1±1.30","97.31","238.8","0.130","−24.2"
"","P10","100.0±0.45","238.1±2.83","0.143±0.08","−23.3±1.07","97.31","238.8","0.130","−24.2"
"","P11","98.21±1.11","239.4±1.65","0.128±0.07","−22.3±2.21","97.31","238.8","0.130","−24.2"
"","P12","99.03±2.43","240.5±1.33","0.110±0.06","−24.5±1.46","97.31","238.8","0.130","−24.2"
"","P13","99.78±1.78","240.9±1.89","0.133±0.03","−24.0±1.58","97.31","238.8","0.130","−24.2"
"a","","","","","","","","",""
