"Parameters","Unit","GRb1","GRb1@PLGA@NPs"
"Cmax","μg  L−1","cxs","1255.686 ± 242.332*"
"Tmax","h","7.2 ± 1.095","5.2 ± 1.095"
"AUC 0→t","μg  L−1·h","13,736.438 ± 3164.967","48,573.285 ± 12,089.487**"
"AUC 0→∞","μg  L−1·h","14,608.267 ± 3496.019","66,895.794 ± 11,759.413**"
"CL","L  h−1  kg−1","0.006 ± 0.001","0.001 ± 0.000"
"T1/2","h","16.423 ± 2.034","39.274 ± 18.919*"
"MRT0→t","h","25.384 ± 1.785","30.446 ± 1.615"
"MRT0→∞","h","30.01 ± 2.085","62.178 ± 19.911"
"MRT0→t","h","25.384 ± 1.785","30.446 ± 1.615"
"MRT0→∞","h","30.01 ± 2.085","62.178 ± 19.911"
