"Source of variance","Particle size","","PDI","","EE","","DL",""
"","F-value","P-value","F-value","P-value","F-value","P-value","F-value","P-value"
"Model","6.57","0.0440","1.28","0.4297","8.22","0.0298","6.32","0.0470"
"A","22.35","0.0091*","8.25","0.0418*","4.25","0.1084","0.61","0.4792"
"B","4.65","0.0972","0.01","0.9126","3.09","0.1534","11.20","0.0286*"
"C","7.72","0.0499*","1.60","0.2740","14.39","0.0192*","1.39","0.3031"
"D","0.19","0.6830","0.07","0.8113","12.93","0.0228*","18.61","0.0125*"
"E","0.17","0.7050","4.37","0.1047","8.22","0.0456*","2.02","0.2279"
"F","7.15","0.0556","2.82","0.1684","5.23","0.0842","2.37","0.1982"
"G","3.74","0.1252","0.02","0.9078","9.42","0.0373","8.04","0.0471"
