"Table 8  Physicochemical  properties  of  Ketorolac  tromethamine-loaded  RG  503-H  nanoparticles  before  and  after  freeze-drying  for  different  months  under  25 ± 2  ˚C  and  60%  RH  conditions","","","","","","","","","","","",""
"(mean ± s.d., n = 3)","","","","","","","","","","","",""
"Cryoprotectant","Time (Month)","","","","","","","","","","",""
"(%w/v)","0","","","1","","","2","","","3","",""
"","","Mean particle size ± s.d.","Sf/Si","","Mean particle size ± s.d.","Sf/Si","","Mean particle size ± s.d.","Sf/Si","","Mean particle size ± s.d.","Sf/Si"
"","(nm)","","Agg. Score","(nm)","","Agg. Score","(nm)","","Agg. Score","(nm)","","Agg. Score"
"","Before","After","","Before","After","","Before","After","","Before","After",""
"","freeze-drying","freeze-drying","","freeze-drying","freeze-drying","","freeze-drying","freeze-drying","","freeze-drying","freeze-drying",""
"No cryoprotectant","168.4 ± 6.1","171.4 ± 4.5","1.017","173.3 ± 6.2","176.1 ± 3.9","1.016","193.7 ± 2.5","196.3 ± 4.8","1.013","202.2 ± 3.6","219.4 ± 4.8","1.085"
"","","","0","","","0","","","0","","","0"
"Mannitol","172.5 ± 2.1","178.2 ± 4.1","1.033","176.9 ± 2.9","185.3 ± 4.4","1.047","194.5 ± 3.8","199.6 ± 3.1","1.026","227.0 ± 6.5","232.5 ± 3.4","1.024"
"(3%)","","","0","","","0","","","0","","","0"
"Dextran","175.9 ± 5.4","ND","ND","215.3 ± 4.9","ND","ND","239.8 ± 7.4","ND","ND","264.1 ± 4.6","ND","ND"
"(3%)","","","2","","","2","","","2","","","2"
"Trehalose","170.6 ± 2.2","172.6 ± 3.3","1.011","179.1 ± 3.8","203.1 ± 5.1","1.054","193.9 ± 2.2","227.6 ± 4.9","1.173","238.4 ± 2.5","253.5 ± 4.7","1.063"
"(3%)","","","0","","","0","","","0","","","0"
"Glucose","168.4 ± 4.8","175.4 ± 2.7","1.041","173.7 ± 2.4","182.3 ± 3.5","1.134","181.1 ± 4.4","188.8 ± 2.3","1.042","202.1 ± 3.9","214.7 ± 5.6","1.062"
"(3%)","","","0","","","0","","","0","","","0"
"Sucrose","173.2 ± 3.3","174.3 ± 3.3","1.006","183.4 ± 3.5","202.3 ± 4.3","1.103","193.9 ± 3.4","212.5 ± 3.4","1.095","227.5 ± 4.4","247.4 ± 3.1","1.087"
"(3%)","","","0","","","0","","","0","","","0"
