paper_key	status	note	current_text_path	current_structure_path	marker_text_path	marker_structure_path	fused_text_path	fused_structure_path	current_text_sha256	current_structure_sha256	marker_text_sha256	marker_structure_sha256	fused_text_sha256	fused_structure_sha256	current_text_length	marker_text_length	fused_text_length	current_block_count	marker_block_count	fusion_contract_version
5GIF3D8W	fused	OK	data/cleaned/content/text/5GIF3D8W.pdf.txt	data/cleaned/content/structure/5GIF3D8W.pdf.json	data/cleaned/content/marker_pdf/5GIF3D8W/marker_clean_text_v1.md	data/cleaned/content/marker_pdf/5GIF3D8W/marker_structure_v1.json	data/cleaned/content/pdf_current_marker_fusion/5GIF3D8W/fused_clean_text_v1.md	data/cleaned/content/pdf_current_marker_fusion/5GIF3D8W/fused_structure_v1.json	7f447c85eca0b910e6e7dc17ab066636122cd322c0759ed28b21fcaab62da6e3	3e0600ff92400d334654f7655f78d14cf16c5de70a2de4a0bb5f3c923ad87a90	0d584edd8c8cb9700d258944e56f3535d52097abb0e19771653e24a07305cb72	c758df50b5fe1c48b323851f96fde29d8b0e9466f66eb10bc1b1452d8a8e44f9	10f4549db2a23d35830616555c4810ab41eb353d0cd36f588e102955e1c4bfa7	8ef9e241aec98916f22d20203a7a2cb1a114c1c6f99eff5007ffcca594dc4622	47085	34650	81940	17	266	stage1_pdf_current_marker_fusion_v1
5ZXYABSU	fused	OK	data/cleaned/content/text/5ZXYABSU.pdf.txt	data/cleaned/content/structure/5ZXYABSU.pdf.json	data/cleaned/content/marker_pdf/5ZXYABSU/marker_clean_text_v1.md	data/cleaned/content/marker_pdf/5ZXYABSU/marker_structure_v1.json	data/cleaned/content/pdf_current_marker_fusion/5ZXYABSU/fused_clean_text_v1.md	data/cleaned/content/pdf_current_marker_fusion/5ZXYABSU/fused_structure_v1.json	fedce5a70fb30730f322b0bdf9490cba2058238f8d5de2c46a7beeaabd2c1936	ac2f71e187fa88d241bc673e60cae59483b1996bcd95a57c6d80eb53c59cc51b	a9a9ec3c155345ff58524085c71b76a311a79ab237288852f9679917105e56d2	f782b7a741903467930fdce155023d9237f77337b080c69d8aa51aedd90b34a0	b70697bd69db0c9ca9db9fcb2d9475ec90e790d3085dd47fe1b35a2055696ad7	9e574e21551cfd634acdb072c8df8be540f8ac7a7d655135674ff1a1586fc6f1	87332	41468	129005	11	323	stage1_pdf_current_marker_fusion_v1
7ZS858NS	fused	OK	data/cleaned/content/text/7ZS858NS.pdf.txt	data/cleaned/content/structure/7ZS858NS.pdf.json	data/cleaned/content/marker_pdf/7ZS858NS/marker_clean_text_v1.md	data/cleaned/content/marker_pdf/7ZS858NS/marker_structure_v1.json	data/cleaned/content/pdf_current_marker_fusion/7ZS858NS/fused_clean_text_v1.md	data/cleaned/content/pdf_current_marker_fusion/7ZS858NS/fused_structure_v1.json	9ef2fd08eb5a85ebd26e0bbbd5aa711349fca1b913b6a453019ee41863da4946	93178f4a358f3aa3d548bafc424865a038870253c26459792b8c3a7e0ac1db3b	a51bff4d72006c92787f2c6109a1a479b40b7fe601f01eb5fc96f30f6e75ce89	9047eab7ccfa6f472847a080d731070ab11a11e9d35e7d6b31a788476c0b2a85	2545cb2e503e9b1695a74e0d7dde90910f0dd5eeb4a1de55867dd6dba00e5634	a455259d312aa1aed179e84e4d283306bc939f327cc2c8f6684f05843b5c7e31	71476	35978	107659	9	294	stage1_pdf_current_marker_fusion_v1
INMUTV7L	fused	OK	data/cleaned/content/text/INMUTV7L.pdf.txt	data/cleaned/content/structure/INMUTV7L.pdf.json	data/cleaned/content/marker_pdf/INMUTV7L/marker_clean_text_v1.md	data/cleaned/content/marker_pdf/INMUTV7L/marker_structure_v1.json	data/cleaned/content/pdf_current_marker_fusion/INMUTV7L/fused_clean_text_v1.md	data/cleaned/content/pdf_current_marker_fusion/INMUTV7L/fused_structure_v1.json	dd31447c16665fa71706de6219e06c030db94c6bcc2ecedcfe5ee143d817ae0d	34485000a6e8c48f760b64e300c921e34f0f804e180009cd1aa7bec1aa20433d	da2a5bc82e2658e08fdfaf71af21b7bbba5ef7234e4bc0797b6f373cb7c4cace	f031dfb29f1190577ce73ffdf6255b0d3c40aca92db2232c0ba5b6e451629b39	900dcfb10076b7d3dfa1255862c4958ab92adb74a8fb95b0a3571880bd1433de	5fc218a057780859a8989328612440f22e39fcebcceb15e8b617bc3e01f43607	128758	70327	199290	25	704	stage1_pdf_current_marker_fusion_v1
L3H2RS2H	fused	OK	data/cleaned/content/text/L3H2RS2H.pdf.txt	data/cleaned/content/structure/L3H2RS2H.pdf.json	data/cleaned/content/marker_pdf/L3H2RS2H/marker_clean_text_v1.md	data/cleaned/content/marker_pdf/L3H2RS2H/marker_structure_v1.json	data/cleaned/content/pdf_current_marker_fusion/L3H2RS2H/fused_clean_text_v1.md	data/cleaned/content/pdf_current_marker_fusion/L3H2RS2H/fused_structure_v1.json	9dac14f713264f31f266c4153f2c5763016b666af6254c619a0b74a4dc5fab49	31062728fdff421f5dcbebea66ef058f380a32cad7f4295ed83abbe4da61aef0	3a52bb9074717e788b56ce7b7cbbf9155980c4077c2505dec75cd766d85563d2	986acde11ff89cef7ddbd747b137a434837d0c42fbb6ee0ccbf7da9693cd3c62	2e599dbf6dfc45403c7e94f2c5aa7cd16b61f82f1e9f2f160eb99e87c3aea5e5	32bb09e3a6c59e9c486e763b5acccb2f324987bab839b79db5686091e29c60f2	93182	4059	97446	11	22	stage1_pdf_current_marker_fusion_v1
PA3SPZ28	fused	OK	data/cleaned/content/text/PA3SPZ28.pdf.txt	data/cleaned/content/structure/PA3SPZ28.pdf.json	data/cleaned/content/marker_pdf/PA3SPZ28/marker_clean_text_v1.md	data/cleaned/content/marker_pdf/PA3SPZ28/marker_structure_v1.json	data/cleaned/content/pdf_current_marker_fusion/PA3SPZ28/fused_clean_text_v1.md	data/cleaned/content/pdf_current_marker_fusion/PA3SPZ28/fused_structure_v1.json	24a4c002ddd28852226b79179ed5d8a318a3c71383342c6a258ea317add63dba	02938433875e5ab7c4cae669fbd9ccf4bf1704582e06e82ee432fbb30bb454a4	395d326f5d0f36ec69b662b4e14630405399972d96367bc5af0392731f2a0d20	420e719d5ff18b00eb08b54d492c467f4bf339df1aec010cab960dc7a122e3de	350fc061b0b8d3e5ce4a9c81efa1b232ed1a6d3270205a589489bb5d0dadc9b1	7e884b9b4498c19c7a770decab42823d7824449755477fdf4a99987a742f1ac8	122830	62169	185204	15	296	stage1_pdf_current_marker_fusion_v1
QLYKLPKT	fused	OK	data/cleaned/content/text/QLYKLPKT.pdf.txt	data/cleaned/content/structure/QLYKLPKT.pdf.json	data/cleaned/content/marker_pdf/QLYKLPKT/marker_clean_text_v1.md	data/cleaned/content/marker_pdf/QLYKLPKT/marker_structure_v1.json	data/cleaned/content/pdf_current_marker_fusion/QLYKLPKT/fused_clean_text_v1.md	data/cleaned/content/pdf_current_marker_fusion/QLYKLPKT/fused_structure_v1.json	ab3d213925f9803cb79d92748a3e7c5f4809c9c4c22edc006a7a2d4fade5a51f	8bc04d30eb55ec71936c9309d327ae64ff6ac19087097347cbed259ca40cb409	dd7b66142ff119a293037012e1939d88dd5f366d3dacd22edcf14a1233b2f8a3	e20f628767a2a7e6ca3d501b9b92d9129e3f9b782e6755d315331ab4609d908e	ef783e7d68e916c0544c3559b8526a05fa04e2954b36def7e0ec1d9fcb37535e	ddcabff30501a4cb68bd9bb30fac81f59de6799009e43db1354d6113d9491152	99242	48097	147544	12	388	stage1_pdf_current_marker_fusion_v1
RHMJWZX8	fused	OK	data/cleaned/content/text/RHMJWZX8.pdf.txt	data/cleaned/content/structure/RHMJWZX8.pdf.json	data/cleaned/content/marker_pdf/RHMJWZX8/marker_clean_text_v1.md	data/cleaned/content/marker_pdf/RHMJWZX8/marker_structure_v1.json	data/cleaned/content/pdf_current_marker_fusion/RHMJWZX8/fused_clean_text_v1.md	data/cleaned/content/pdf_current_marker_fusion/RHMJWZX8/fused_structure_v1.json	eb4795f91156b83e20eda6bb2c9a4b9569d3ed3557455042104330313da074d1	8ae5b1953990908240b405461e636e3a3ecaa2e9131503f750854ba125a4f8d2	e005751245db38bcb9ceb5ee7a47e03b8e9d9163ec3f972e5cd6bda6131d2cff	95f67dd0cea6550dc6e7a3bcce43e2912a9141dad616d624e87f31fd8ed02881	5ea115c53e9f5571cbe2e98eebe7e12d0093cbe85e1043b1a5373c0f7db77e0c	d3faf48aa045fea75f659a3fbb48ed068e1d0baadda5779cf50c9853eb6fd60e	101292	47950	149447	14	416	stage1_pdf_current_marker_fusion_v1
UFXX9WXE	fused	OK	data/cleaned/content/text/UFXX9WXE.pdf.txt	data/cleaned/content/structure/UFXX9WXE.pdf.json	data/cleaned/content/marker_pdf/UFXX9WXE/marker_clean_text_v1.md	data/cleaned/content/marker_pdf/UFXX9WXE/marker_structure_v1.json	data/cleaned/content/pdf_current_marker_fusion/UFXX9WXE/fused_clean_text_v1.md	data/cleaned/content/pdf_current_marker_fusion/UFXX9WXE/fused_structure_v1.json	568688de09ba7fd185ab3168c357cbbab631f118af68bf5d2a8a4593c40a3b63	956373c81327f5a86dc1116be2b0ca1cfdf67a5f3eaf2e6fca7d2c2cbbac745b	5376e9162d6fb3075296c9d51f9a9c1b9d898b3533d971ce0615253c51ab8bba	0952b147c43513e98440698053a8fea50c4a49ab4936e4f7796c11b7bc28b254	6c6a6593edfb5f6c19dccd0e2c0eadcee377cc1a60ac60f9bf9e45bcc02a510d	484020532b024be24aeead18dc1361c452dd8502b9db988c8459787026a6e57c	128690	61756	190651	15	551	stage1_pdf_current_marker_fusion_v1
WFDTQ4VX	fused	OK	data/cleaned/content/text/WFDTQ4VX.pdf.txt	data/cleaned/content/structure/WFDTQ4VX.pdf.json	data/cleaned/content/marker_pdf/WFDTQ4VX/marker_clean_text_v1.md	data/cleaned/content/marker_pdf/WFDTQ4VX/marker_structure_v1.json	data/cleaned/content/pdf_current_marker_fusion/WFDTQ4VX/fused_clean_text_v1.md	data/cleaned/content/pdf_current_marker_fusion/WFDTQ4VX/fused_structure_v1.json	50250a90c4b050bf4b7c8759a2ac70221690ff0c347799f949b252df090e2999	6b722d2777c9117fd4748845737e3f60548f4dcbe7605a3c0de51a3cae4f9fe5	2e51e7838158e68b6d9eceef45e482dc77abcd998994bf6ea018918d52830ef6	54c8e76b7e2a287c4acb88b1e9a90a3073031b313be2b4bbf28894cee9f1f54d	52badf1312c29a7396778e66e582de332834293ddd09453d05af6cce44e6b926	13288664caa9e2980f4a5d0bddff34afe366bb4cb8fb5f363b98dbb786ca4df5	100372	53747	154324	15	714	stage1_pdf_current_marker_fusion_v1
