paper_key	status	source_type	current_text_path	current_structure_path	marker_text_path	marker_structure_path	unified_text_path	unified_structure_path	stage1_table_cell_sidecar_path	stage1_table_cell_sidecar_available	current_text_sha256	current_structure_sha256	marker_text_sha256	marker_structure_sha256	unified_text_sha256	unified_structure_sha256	current_text_length	marker_text_length	unified_text_length	current_block_count	marker_block_count	unified_block_count	table_cell_count	table_count	contract_version	note
5GIF3D8W	unified	PDF	data/cleaned/content/text/5GIF3D8W.pdf.txt	data/cleaned/content/structure/5GIF3D8W.pdf.json	data/cleaned/content/marker_pdf/5GIF3D8W/marker_clean_text_v1.md	data/cleaned/content/marker_pdf/5GIF3D8W/marker_structure_v1.json	data/cleaned/content/stage1_unified_current_marker_v1/5GIF3D8W/unified_clean_text_v1.md	data/cleaned/content/stage1_unified_current_marker_v1/5GIF3D8W/unified_structure_v1.json		no	7f447c85eca0b910e6e7dc17ab066636122cd322c0759ed28b21fcaab62da6e3	3e0600ff92400d334654f7655f78d14cf16c5de70a2de4a0bb5f3c923ad87a90	0d584edd8c8cb9700d258944e56f3535d52097abb0e19771653e24a07305cb72	c758df50b5fe1c48b323851f96fde29d8b0e9466f66eb10bc1b1452d8a8e44f9	e88237bb35e95e3c369c2a03ac64ce540583898b96f1bd8af6949e1e09ec002d	af72dcda7d50f9573e1be2e03a8724dd6da9f2d1c5c1be2aa323d36b4786ef05	47085	34650	81950	17	266	283			stage1_unified_current_marker_v1	OK
5ZXYABSU	unified	PDF	data/cleaned/content/text/5ZXYABSU.pdf.txt	data/cleaned/content/structure/5ZXYABSU.pdf.json	data/cleaned/content/marker_pdf/5ZXYABSU/marker_clean_text_v1.md	data/cleaned/content/marker_pdf/5ZXYABSU/marker_structure_v1.json	data/cleaned/content/stage1_unified_current_marker_v1/5ZXYABSU/unified_clean_text_v1.md	data/cleaned/content/stage1_unified_current_marker_v1/5ZXYABSU/unified_structure_v1.json		no	fedce5a70fb30730f322b0bdf9490cba2058238f8d5de2c46a7beeaabd2c1936	ac2f71e187fa88d241bc673e60cae59483b1996bcd95a57c6d80eb53c59cc51b	a9a9ec3c155345ff58524085c71b76a311a79ab237288852f9679917105e56d2	f782b7a741903467930fdce155023d9237f77337b080c69d8aa51aedd90b34a0	af1d559233825bcf5a92be289b0609d525b66f692e21939843bcd4740f9194ca	c7494255139122dbcaa560dd4dabac6de141c7e99d2d00d96e0aca572c340055	87332	41468	129015	11	323	334			stage1_unified_current_marker_v1	OK
7ZS858NS	unified	PDF	data/cleaned/content/text/7ZS858NS.pdf.txt	data/cleaned/content/structure/7ZS858NS.pdf.json	data/cleaned/content/marker_pdf/7ZS858NS/marker_clean_text_v1.md	data/cleaned/content/marker_pdf/7ZS858NS/marker_structure_v1.json	data/cleaned/content/stage1_unified_current_marker_v1/7ZS858NS/unified_clean_text_v1.md	data/cleaned/content/stage1_unified_current_marker_v1/7ZS858NS/unified_structure_v1.json		no	9ef2fd08eb5a85ebd26e0bbbd5aa711349fca1b913b6a453019ee41863da4946	93178f4a358f3aa3d548bafc424865a038870253c26459792b8c3a7e0ac1db3b	a51bff4d72006c92787f2c6109a1a479b40b7fe601f01eb5fc96f30f6e75ce89	9047eab7ccfa6f472847a080d731070ab11a11e9d35e7d6b31a788476c0b2a85	d0875c118e1de16ba7e1bd49d63ef447e84cfdc8901bc820e3501265d776ca2e	017d077afcb74c2be8ada7d010b143474e90d59594ce68ed522d4bc7e71ec33f	71476	35978	107669	9	294	303			stage1_unified_current_marker_v1	OK
BB3JUVW7	unified	HTML	data/cleaned/content/text/BB3JUVW7.html.txt	data/cleaned/content/structure/BB3JUVW7.html.json			data/cleaned/content/stage1_unified_current_marker_v1/BB3JUVW7/unified_clean_text_v1.md	data/cleaned/content/stage1_unified_current_marker_v1/BB3JUVW7/unified_structure_v1.json	data/cleaned/content/stage1_table_cell_sidecars_current_v1/tables_cell_sidecar/BB3JUVW7/stage1_table_cells_v1.jsonl	yes	5e47ca7dd1431a0706f7557512762f85849223540620b7fe70f5c922a1827176	7c95a98bba46972cca35b479ffbc25a56ba32a4c876382d6867899bde10e3eb1			e61ab0114e78e3f4dd4fbfebe4f7bcd90b301fcc38c344d7a731c9dab6fb288a	d348f74361b3b64ca7c325e07595bc7a90dd662def8feae86e671e5980510baf	22418		22548	168		168	150	2	stage1_unified_current_marker_v1	OK
BXCV5XWB	unified	HTML	data/cleaned/content/text/BXCV5XWB.html.txt	data/cleaned/content/structure/BXCV5XWB.html.json			data/cleaned/content/stage1_unified_current_marker_v1/BXCV5XWB/unified_clean_text_v1.md	data/cleaned/content/stage1_unified_current_marker_v1/BXCV5XWB/unified_structure_v1.json	data/cleaned/content/stage1_table_cell_sidecars_current_v1/tables_cell_sidecar/BXCV5XWB/stage1_table_cells_v1.jsonl	yes	4d1c95742a8f33c0493c9edde960cdd7374933766c753efe10afe55876809976	8e5ea7c3b952be38ca7184a6728d673e709d6a99741aebc8e35637fd40145f10			3ce57984bb359d434ba7b75a1d662816680aa8bc892f853c959dd90027cf3f4e	89addd994feca3ae6857f1430fc80d86323e1f37eac428c80202420e969bbcfd	57788		57918	364		364	110	2	stage1_unified_current_marker_v1	OK
INMUTV7L	unified	PDF	data/cleaned/content/text/INMUTV7L.pdf.txt	data/cleaned/content/structure/INMUTV7L.pdf.json	data/cleaned/content/marker_pdf/INMUTV7L/marker_clean_text_v1.md	data/cleaned/content/marker_pdf/INMUTV7L/marker_structure_v1.json	data/cleaned/content/stage1_unified_current_marker_v1/INMUTV7L/unified_clean_text_v1.md	data/cleaned/content/stage1_unified_current_marker_v1/INMUTV7L/unified_structure_v1.json		no	dd31447c16665fa71706de6219e06c030db94c6bcc2ecedcfe5ee143d817ae0d	34485000a6e8c48f760b64e300c921e34f0f804e180009cd1aa7bec1aa20433d	da2a5bc82e2658e08fdfaf71af21b7bbba5ef7234e4bc0797b6f373cb7c4cace	f031dfb29f1190577ce73ffdf6255b0d3c40aca92db2232c0ba5b6e451629b39	d73e6cd8f1d00eb715fa2404871017a00291a73a9b0931b6bfca1139c4dd5493	5e616775245a0e3c8c1d9382343b6379506f88c6f26220983d3c13d8900dacdf	128758	70327	199300	25	704	729			stage1_unified_current_marker_v1	OK
L3H2RS2H	unified	PDF	data/cleaned/content/text/L3H2RS2H.pdf.txt	data/cleaned/content/structure/L3H2RS2H.pdf.json	data/cleaned/content/marker_pdf/L3H2RS2H/marker_clean_text_v1.md	data/cleaned/content/marker_pdf/L3H2RS2H/marker_structure_v1.json	data/cleaned/content/stage1_unified_current_marker_v1/L3H2RS2H/unified_clean_text_v1.md	data/cleaned/content/stage1_unified_current_marker_v1/L3H2RS2H/unified_structure_v1.json		no	9dac14f713264f31f266c4153f2c5763016b666af6254c619a0b74a4dc5fab49	31062728fdff421f5dcbebea66ef058f380a32cad7f4295ed83abbe4da61aef0	3a52bb9074717e788b56ce7b7cbbf9155980c4077c2505dec75cd766d85563d2	986acde11ff89cef7ddbd747b137a434837d0c42fbb6ee0ccbf7da9693cd3c62	9fc77bbe2cd962281f2dce51bec149e6c08cae2f17c6dc5efb2637c864759ee6	4dba3f94bfc5383b614fc90576abb89392fd7cb36ab8af350f17df6270cf396f	93182	4059	97456	11	22	33			stage1_unified_current_marker_v1	OK
PA3SPZ28	unified	PDF	data/cleaned/content/text/PA3SPZ28.pdf.txt	data/cleaned/content/structure/PA3SPZ28.pdf.json	data/cleaned/content/marker_pdf/PA3SPZ28/marker_clean_text_v1.md	data/cleaned/content/marker_pdf/PA3SPZ28/marker_structure_v1.json	data/cleaned/content/stage1_unified_current_marker_v1/PA3SPZ28/unified_clean_text_v1.md	data/cleaned/content/stage1_unified_current_marker_v1/PA3SPZ28/unified_structure_v1.json		no	24a4c002ddd28852226b79179ed5d8a318a3c71383342c6a258ea317add63dba	02938433875e5ab7c4cae669fbd9ccf4bf1704582e06e82ee432fbb30bb454a4	395d326f5d0f36ec69b662b4e14630405399972d96367bc5af0392731f2a0d20	420e719d5ff18b00eb08b54d492c467f4bf339df1aec010cab960dc7a122e3de	dd53be95af397e4a441040a67253bbc2c2ce289a479699be22813810a6da90b1	f9109efeadadfa0ffc1417c7a98517d4aa17160f8169a8867c8fdb4be0e66581	122830	62169	185214	15	296	311			stage1_unified_current_marker_v1	OK
QLYKLPKT	unified	PDF	data/cleaned/content/text/QLYKLPKT.pdf.txt	data/cleaned/content/structure/QLYKLPKT.pdf.json	data/cleaned/content/marker_pdf/QLYKLPKT/marker_clean_text_v1.md	data/cleaned/content/marker_pdf/QLYKLPKT/marker_structure_v1.json	data/cleaned/content/stage1_unified_current_marker_v1/QLYKLPKT/unified_clean_text_v1.md	data/cleaned/content/stage1_unified_current_marker_v1/QLYKLPKT/unified_structure_v1.json		no	ab3d213925f9803cb79d92748a3e7c5f4809c9c4c22edc006a7a2d4fade5a51f	8bc04d30eb55ec71936c9309d327ae64ff6ac19087097347cbed259ca40cb409	dd7b66142ff119a293037012e1939d88dd5f366d3dacd22edcf14a1233b2f8a3	e20f628767a2a7e6ca3d501b9b92d9129e3f9b782e6755d315331ab4609d908e	44fe57a86c717e73f8e232e6edc448dc73df3c2fd04e8f8825570bf5a4b193d2	6cc6b449b23a134669dab621be84aebe5dea9d917aeee58484d04a52710c806e	99242	48097	147554	12	388	400			stage1_unified_current_marker_v1	OK
RHMJWZX8	unified	PDF	data/cleaned/content/text/RHMJWZX8.pdf.txt	data/cleaned/content/structure/RHMJWZX8.pdf.json	data/cleaned/content/marker_pdf/RHMJWZX8/marker_clean_text_v1.md	data/cleaned/content/marker_pdf/RHMJWZX8/marker_structure_v1.json	data/cleaned/content/stage1_unified_current_marker_v1/RHMJWZX8/unified_clean_text_v1.md	data/cleaned/content/stage1_unified_current_marker_v1/RHMJWZX8/unified_structure_v1.json		no	eb4795f91156b83e20eda6bb2c9a4b9569d3ed3557455042104330313da074d1	8ae5b1953990908240b405461e636e3a3ecaa2e9131503f750854ba125a4f8d2	e005751245db38bcb9ceb5ee7a47e03b8e9d9163ec3f972e5cd6bda6131d2cff	95f67dd0cea6550dc6e7a3bcce43e2912a9141dad616d624e87f31fd8ed02881	c31d4bfbe4ade7dd0fabd3e518cf524426f76e5ca650874c489ec90c4216d2f9	8b58bc35a6581525d615a8b6f5de8f354717d25a6deeefc8529fa82387f223ad	101292	47950	149457	14	416	430			stage1_unified_current_marker_v1	OK
